id,name,slug,description
 6ccaa18b-fb85-43b5-a8d8-61ac7ab504f7,"Blends",blends,"Research peptides in the Blends category"
 a9828eaa-3da0-4c62-8b7f-c083fc853525,"Brain & Mood",brain-mood,"Research peptides in the Brain & Mood category"
 2a9e7c68-2063-4c98-8df7-1f3d2362ce92,"Fitness & Performance",fitness-performance,"Research peptides in the Fitness & Performance category"
 97c4d1a0-acac-44ac-8e56-34691862627d,"GLP-1 Peptides",glp-1-peptides,"Research peptides in the GLP-1 Peptides category"
 0d45a30b-2bf0-4142-a253-8e8ae7995f5e,"General Health",general-health,"Research peptides in the General Health category"
 09d44493-947e-4448-96ef-d1103f16fe21,"Metabolic Health",metabolic-health,"Peptides for weight management and metabolism"
 87aa7fbb-dc00-4188-81c5-6913e3a4f07c,"Performance",performance,"Peptides for athletic performance and muscle building"
 c50a1218-4bc8-46bc-a859-34e8e14c6488,"Performance Enhancement",performance-enhancement,"Peptides for athletic performance and muscle growth"
 ccdfc037-7ac2-47f4-a8b3-4fe9a28092d9,"Recovery",recovery,"Research peptides in the Recovery category"
 67d56d83-1c6b-44d6-a612-ef1b5aaa5b38,"Recovery & Healing",recovery-healing,"Peptides for tissue repair and recovery"
 f8c9973e-0757-4f18-b547-d8ffbba68a46,"Sexual Health",sexual-health,"Research peptides in the Sexual Health category"
 c9fd4370-fff7-4cf2-a613-b355097eebd5,"Weight Management",weight-management,"Research peptides in the Weight Management category"

